"id","sequence","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","tax_exigibility","cash_basis_transition_account_id","include_base_amount","l10n_mx_tax_type","l10n_mx_factor_type","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/account_id","repartition_line_ids/tag_ids","description@es","invoice_label@es"
"ish_3_5_purchase","115","ISH (3.5%) COMPRAS","","ISH(3.5%)","3.5","percent","purchase","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(3.5%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ish_4_sale","116","ISH (4%) VENTAS","","ISH(4%)","4.0","percent","sale","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(4%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ish_4_purchase","117","ISH (4%) COMPRAS","","ISH(4%)","4.0","percent","purchase","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(4%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ish_4_5_sale","118","ISH (4.5%) VENTAS","","ISH(4.5%)","4.5","percent","sale","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(4.5%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ish_4_5_purchase","119","ISH (4.5%) COMPRAS","","ISH(4.5%)","4.5","percent","purchase","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(4.5%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ish_5_sale","120","ISH (5%) VENTAS","","ISH(5%)","5.0","percent","sale","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(5%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ish_5_purchase","121","ISH (5%) COMPRAS","","ISH(5%)","5.0","percent","purchase","tax_group_ish","on_payment","cuenta119_09_01","","local","Tasa","","base","invoice","","","","","ISH(5%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_49_001","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_49_001","","",""
"ieps_200_sale","200","IEPS 200% VENTAS","","IEPS 200%","200.0","percent","sale","tax_group_ieps_200","on_payment","cuenta209_02","1","ieps","Tasa","","base","invoice","","","","","IEPS 200%"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta208_02","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta208_02","","",""
"ieps_200_purchase","201","IEPS 200% COMPRAS","","IEPS 200%","200.0","percent","purchase","tax_group_ieps_200","on_payment","cuenta119_03","1","ieps","Tasa","","base","invoice","","","","","IEPS 200%"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta118_03","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta118_03","","",""
"isn_1","300","ISN (1%)","","ISN(1%)","1.0","percent","none","tax_group_isn","","","","","Tasa","","base","invoice","","","","","ISN(1%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_29","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_29","","",""
"isn_2","301","ISN (2%)","","ISN(2%)","2.0","percent","none","tax_group_isn","","","","","Tasa","","base","invoice","","","","","ISN(2%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_29","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_29","","",""
"isn_3","302","ISN (3%)","","ISN(3%)","3.0","percent","none","tax_group_isn","","","","","Tasa","","base","invoice","","","","","ISN(3%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_29","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_29","","",""
"isn_4","303","ISN (4%)","","ISN(4%)","4.0","percent","none","tax_group_isn","","","","","Tasa","","base","invoice","","","","","ISN(4%)"
"","","","","","","","","","","","","","","","tax","invoice","","cuenta603_29","","",""
"","","","","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","","","","tax","refund","","cuenta603_29","","",""
