id,code,description
c_config_autotransporte_VL,VL,Vehículo ligero de carga (2 llantas en el eje delantero y 2 llantas en el eje trasero)
c_config_autotransporte_C2,C2,Camión Unitario (2 llantas en el eje delantero y 4 llantas en el eje trasero)
c_config_autotransporte_C3,C3,Camión Unitario (2 llantas en el eje delantero y 6 o 8 llantas en los dos ejes traseros)
c_config_autotransporte_C2R2,C2R2,Camión-Remolque (6 llantas en el camión y 8 llantas en remolque)
c_config_autotransporte_C3R2,C3R2,Camión-Remolque (10 llantas en el camión y 8 llantas en remolque)
c_config_autotransporte_C2R3,C2R3,Camión-Remolque (6 llantas en el camión y 12 llantas en remolque)
c_config_autotransporte_C3R3,C3R3,Camión-Remolque (10 llantas en el camión y 12 llantas en remolque)
c_config_autotransporte_T2S1,T2S1,"Tractocamión Articulado (6 llantas en el tractocamión, 4 llantas en el semirremolque)"
c_config_autotransporte_T2S2,T2S2,"Tractocamión Articulado (6 llantas en el tractocamión, 8 llantas en el semirremolque)"
c_config_autotransporte_T2S3,T2S3,"Tractocamión Articulado (6 llantas en el tractocamión, 12 llantas en el semirremolque)"
c_config_autotransporte_T3S1,T3S1,"Tractocamión Articulado (10 llantas en el tractocamión, 4 llantas en el semirremolque)"
c_config_autotransporte_T3S2,T3S2,"Tractocamión Articulado (10 llantas en el tractocamión, 8 llantas en el semirremolque)"
c_config_autotransporte_T3S3,T3S3,"Tractocamión Articulado (10 llantas en el tractocamión, 12 llantas en el semirremolque)"
c_config_autotransporte_T2S1R2,T2S1R2,"Tractocamión Semirremolque-Remolque (6 llantas en el tractocamión, 4 llantas en el semirremolque y 8 llantas en el remolque)"
c_config_autotransporte_T2S2R2,T2S2R2,"Tractocamión Semirremolque-Remolque (6 llantas en el tractocamión, 8 llantas en el semirremolque y 8 llantas en el remolque)"
c_config_autotransporte_T2S1R3,T2S1R3,"Tractocamión Semirremolque-Remolque (6 llantas en el tractocamión, 4 llantas en el semirremolque y 12 llantas en el remolque)"
c_config_autotransporte_T3S1R2,T3S1R2,"Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 4 llantas en el semirremolque y 8 llantas en el remolque)"
c_config_autotransporte_T3S1R3,T3S1R3,"Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 4 llantas en el semirremolque y 12 llantas en el remolque)"
c_config_autotransporte_T3S2R2,T3S2R2,"Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 8 llantas en el semirremolque y 8 llantas en el remolque)"
c_config_autotransporte_T3S2R3,T3S2R3,"Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 8 llantas en el semirremolque y 12 llantas en el remolque)"
c_config_autotransporte_T3S2R4,T3S2R4,"Tractocamión Semirremolque-Remolque (10 llantas en el tractocamión, 8 llantas en el semirremolque y 16 llantas en el remolque)"
c_config_autotransporte_T2S2S2,T2S2S2,"Tractocamión Semirremolque-Semirremolque (6 llantas en el tractocamión, 8 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero)"
c_config_autotransporte_T3S2S2,T3S2S2,"Tractocamión Semirremolque-Semirremolque (10 llantas en el tractocamión, 8 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero)"
c_config_autotransporte_T3S3S2,T3S3S2,"Tractocamión Semirremolque-Semirremolque (10 llantas en el tractocamión, 12 llantas en el semirremolque delantero y 8 llantas en el semirremolque trasero)"
c_config_autotransporte_OTROEVGP,OTROEVGP,Especializado de carga Voluminosa y/o Gran Peso
c_config_autotransporte_OTROSG,OTROSG,Servicio de Grúas
c_config_autotransporte_GPLUTA,GPLUTA,Grúa de Pluma Tipo A
c_config_autotransporte_GPLUTB,GPLUTB,Grúa de Pluma Tipo B
c_config_autotransporte_GPLUTC,GPLUTC,Grúa de Pluma Tipo C
c_config_autotransporte_GPLUTD,GPLUTD,Grúa de Pluma Tipo D
c_config_autotransporte_GPLATA,GPLATA,Grúa de Plataforma Tipo A
c_config_autotransporte_GPLATB,GPLATB,Grúa de Plataforma Tipo B
c_config_autotransporte_GPLATC,GPLATC,Grúa de Plataforma Tipo C
c_config_autotransporte_GPLATD,GPLATD,Grúa de Plataforma Tipo D
