id,code,description
c_pais_AFG,AFG,Afganistán
c_pais_ALA,ALA,Islas Åland
c_pais_ALB,ALB,Albania
c_pais_DEU,DEU,Alemania
c_pais_AND,AND,Andorra
c_pais_AGO,AGO,Angola
c_pais_AIA,AIA,Anguila
c_pais_ATA,ATA,Antártida
c_pais_ATG,ATG,Antigua y Barbuda
c_pais_SAU,SAU,Arabia Saudita
c_pais_DZA,DZA,Argelia
c_pais_ARG,ARG,Argentina
c_pais_ARM,ARM,Armenia
c_pais_ABW,ABW,Aruba
c_pais_AUS,AUS,Australia
c_pais_AUT,AUT,Austria
c_pais_AZE,AZE,Azerbaiyán
c_pais_BHS,BHS,Bahamas (las)
c_pais_BGD,BGD,Bangladés
c_pais_BRB,BRB,Barbados
c_pais_BHR,BHR,Baréin
c_pais_BEL,BEL,Bélgica
c_pais_BLZ,BLZ,Belice
c_pais_BEN,BEN,Benín
c_pais_BMU,BMU,Bermudas
c_pais_BLR,BLR,Bielorrusia
c_pais_MMR,MMR,Myanmar
c_pais_BOL,BOL,"Bolivia, Estado Plurinacional de"
c_pais_BIH,BIH,Bosnia y Herzegovina
c_pais_BWA,BWA,Botsuana
c_pais_BRA,BRA,Brasil
c_pais_BRN,BRN,Brunéi Darussalam
c_pais_BGR,BGR,Bulgaria
c_pais_BFA,BFA,Burkina Faso
c_pais_BDI,BDI,Burundi
c_pais_BTN,BTN,Bután
c_pais_CPV,CPV,Cabo Verde
c_pais_KHM,KHM,Camboya
c_pais_CMR,CMR,Camerún
c_pais_CAN,CAN,Canadá
c_pais_QAT,QAT,Catar
c_pais_BES,BES,"Bonaire, San Eustaquio y Saba"
c_pais_TCD,TCD,Chad
c_pais_CHL,CHL,Chile
c_pais_CHN,CHN,China
c_pais_CYP,CYP,Chipre
c_pais_COL,COL,Colombia
c_pais_COM,COM,Comoras
c_pais_PRK,PRK,Corea (la República Democrática Popular de)
c_pais_KOR,KOR,Corea (la República de)
c_pais_CIV,CIV,Côte d'Ivoire
c_pais_CRI,CRI,Costa Rica
c_pais_HRV,HRV,Croacia
c_pais_CUB,CUB,Cuba
c_pais_CUW,CUW,Curaçao
c_pais_DNK,DNK,Dinamarca
c_pais_DMA,DMA,Dominica
c_pais_ECU,ECU,Ecuador
c_pais_EGY,EGY,Egipto
c_pais_SLV,SLV,El Salvador
c_pais_ARE,ARE,Emiratos Árabes Unidos (Los)
c_pais_ERI,ERI,Eritrea
c_pais_SVK,SVK,Eslovaquia
c_pais_SVN,SVN,Eslovenia
c_pais_ESP,ESP,España
c_pais_USA,USA,Estados Unidos (los)
c_pais_EST,EST,Estonia
c_pais_ETH,ETH,Etiopía
c_pais_PHL,PHL,Filipinas (las)
c_pais_FIN,FIN,Finlandia
c_pais_FJI,FJI,Fiyi
c_pais_FRA,FRA,Francia
c_pais_GAB,GAB,Gabón
c_pais_GMB,GMB,Gambia (La)
c_pais_GEO,GEO,Georgia
c_pais_GHA,GHA,Ghana
c_pais_GIB,GIB,Gibraltar
c_pais_GRD,GRD,Granada
c_pais_GRC,GRC,Grecia
c_pais_GRL,GRL,Groenlandia
c_pais_GLP,GLP,Guadalupe
c_pais_GUM,GUM,Guam
c_pais_GTM,GTM,Guatemala
c_pais_GUF,GUF,Guayana Francesa
c_pais_GGY,GGY,Guernsey
c_pais_GIN,GIN,Guinea
c_pais_GNB,GNB,Guinea-Bisáu
c_pais_GNQ,GNQ,Guinea Ecuatorial
