id,code,name,includes_iva,includes_ieps,border_incentive,alternative_names
c_clave_prod_serv_01010101,01010101,No existe en el catálogo,Opcional,Opcional,0,Público en general
c_clave_prod_serv_10101500,10101500,Animales vivos de granja,Opcional,Opcional,1,
c_clave_prod_serv_10101501,10101501,Gatos vivos,Opcional,Opcional,1,
c_clave_prod_serv_10101502,10101502,Perros,Opcional,Opcional,1,
c_clave_prod_serv_10101504,10101504,Visón,Opcional,Opcional,1,
c_clave_prod_serv_10101505,10101505,Ratas,Opcional,Opcional,1,
c_clave_prod_serv_10101506,10101506,Caballos,Opcional,Opcional,1,"Equinos, Potrancas, Potras, Potrillos, Potros, Yeguas"
c_clave_prod_serv_10101507,10101507,Ovejas,Opcional,Opcional,1,"Borregos, Carneros"
c_clave_prod_serv_10101508,10101508,Cabras,Opcional,Opcional,1,"Borregos cimarrones, Cabritos, Cabros, Carnero de las Rocosas, Chivas, Chivatos, Chivos, Irascos, Machos cabríos, Chivos"
c_clave_prod_serv_10101509,10101509,Asnos,Opcional,Opcional,1,"Borricos, Burros"
c_clave_prod_serv_10101510,10101510,Ratones,Opcional,Opcional,1,
c_clave_prod_serv_10101511,10101511,Cerdos,Opcional,Opcional,1,"Cerdo montés, Chanchos, Chanchos almizcleros, Chanchos de monte, Cochinillos, Cochinos, Cochinos de monte, Cuche, Cuinos, Gorrinos, Jabalíes americanos, Lechones, Cochinos de monte, Pecaríes, Porcinos, Puercos, Puercos de monte, Tayatos"
c_clave_prod_serv_10101512,10101512,Conejos,Opcional,Opcional,1,Liebres
c_clave_prod_serv_10101513,10101513,Cobayas o conejillos de indias,Opcional,Opcional,1,"Chanchito de Indias, Cobayos, Cuilo, Cuyo"
c_clave_prod_serv_10101514,10101514,Primates,Opcional,Opcional,1,"Changos, Chimpancés, Gorilas, Lémures, Macacos, Micos, Monos, Orangutanes, Simios, Monos"
c_clave_prod_serv_10101515,10101515,Armadillos,Opcional,Opcional,1,Toches
c_clave_prod_serv_10101516,10101516,Ganado vacuno,Opcional,Opcional,1,"Bueyes, Búfalos, Cebús, Otros vacunos o bovinos, Toros, Vacas"
c_clave_prod_serv_10101517,10101517,Camellos,Opcional,Opcional,1,Dromedarios
c_clave_prod_serv_10101600,10101600,Pájaros y aves de corral vivos,Opcional,Opcional,1,
