id,date_start,date_end,amount_daily,amount_monthly,amount_annual,dof_publication
uma_2025,2025-02-01,2026-02-01,113.14,3439.46,41273.52,2025-01-10
uma_2026,2026-02-01,2027-02-01,117.31,3566.22,42794.64,2026-01-09
