id,code,name,active
c_fraccion_0101210100,0101210100,Reproductores de raza pura.,True
c_fraccion_0101290101,0101290101,Para saltos o carreras.,True
c_fraccion_0101290200,0101290200,"Sin pedigree, para reproducción.",True
c_fraccion_0101290300,0101290300,"Para abasto, cuando la importación la realicen empacadoras Tipo Inspección Federal.",True
c_fraccion_0101299999,0101299999,Los demás.,True
c_fraccion_0101300100,0101300100,Asnos.,True
c_fraccion_0101909900,0101909900,Los demás.,True
c_fraccion_0102210100,0102210100,Reproductores de raza pura.,True
c_fraccion_0102290100,0102290100,Vacas lecheras.,True
c_fraccion_0102290200,0102290200,"Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción arancelaria 0102.29.01.",True
c_fraccion_0102299900,0102299900,Los demás.,True
c_fraccion_0102310100,0102310100,Reproductores de raza pura.,True
c_fraccion_0102399900,0102399900,Los demás.,True
c_fraccion_0102909900,0102909900,Los demás.,True
c_fraccion_0103100100,0103100100,Reproductores de raza pura.,True
c_fraccion_0103910100,0103910100,Con pedigree o certificado de alto registro.,True
c_fraccion_0103919900,0103919900,Los demás.,True
c_fraccion_0103920100,0103920100,Con pedigree o certificado de alto registro.,True
c_fraccion_0103929900,0103929900,Los demás.,True
c_fraccion_0104100100,0104100100,Con pedigree o certificado de alto registro.,True
c_fraccion_0104100201,0104100201,Para abasto.,True
c_fraccion_0104109999,0104109999,Los demás.,True
c_fraccion_0104200100,0104200100,Con pedigree o certificado de alto registro.,True
c_fraccion_0104200200,0104200200,Borrego cimarrón.,True
c_fraccion_0104209900,0104209900,Los demás.,True
c_fraccion_0105110101,0105110101,Aves reproductoras de la línea de postura.,True
c_fraccion_0105110102,0105110102,Aves reproductoras de la línea de engorda.,True
c_fraccion_0105119900,0105119900,Los demás.,True
c_fraccion_0105120100,0105120100,Pavos (gallipavos).,True
c_fraccion_0105130100,0105130100,Patos.,True
c_fraccion_0105140100,0105140100,Gansos.,True
c_fraccion_0105150100,0105150100,Pintadas.,True
c_fraccion_0105940100,0105940100,Gallos de pelea.,True
c_fraccion_0105949900,0105949900,Los demás.,True
c_fraccion_0105999900,0105999900,Los demás.,True
c_fraccion_0106110100,0106110100,Monos (simios) de las variedades Macacus rhesus o Macacus cercophitecus.,True
c_fraccion_0106119900,0106119900,Los demás.,True
c_fraccion_0106120100,0106120100,"Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia).",True
c_fraccion_0106130100,0106130100,Camellos y demás camélidos (Camelidae).,True
c_fraccion_0106140100,0106140100,Conejos y liebres.,True
c_fraccion_0106190200,0106190200,Venado rojo (Cervus elaphus); gamo (Dama dama).,True
c_fraccion_0106190301,0106190301,Perros.,True
c_fraccion_0106200400,0106200400,Reptiles (incluidas las serpientes y tortugas de mar).,True
c_fraccion_0106310100,0106310100,Aves de rapiña.,True
c_fraccion_0106320100,0106320100,"Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos).",True
c_fraccion_0106330100,0106330100,Avestruces; emúes (Dromaius novaehollandiae).,True
c_fraccion_0106399900,0106399900,Las demás.,True
c_fraccion_0106410100,0106410100,Abejas.,True
c_fraccion_0106499900,0106499900,Los demás.,True
c_fraccion_0106900200,0106900200,Lombriz Rebellus.,True
c_fraccion_0106900300,0106900300,Lombriz acuática.,True
c_fraccion_0106900400,0106900400,Ácaros Phytoseiulus persimilis.,True
c_fraccion_0106909900,0106909900,Los demás.,True
c_fraccion_0201100100,0201100100,En canales o medias canales.,True
c_fraccion_0201209900,0201209900,Los demás cortes (trozos) sin deshuesar.,True
c_fraccion_0201300100,0201300100,Deshuesada.,True
c_fraccion_0202100100,0202100100,En canales o medias canales.,True
c_fraccion_0202209900,0202209900,Los demás cortes (trozos) sin deshuesar.,True
