id,code,name,city,state,active
c_aduana_380,380,"TAMPICO, TAMPICO, TAMAULIPAS.",Tampico,Tamaulipas,True
c_aduana_390,390,"TECATE, TECATE, BAJA CALIFORNIA.",Tecate,Baja California,True
c_aduana_400,400,"TIJUANA, TIJUANA, BAJA CALIFORNIA.",Tijuana,Baja California,True
c_aduana_402,402,"AEROPUERTO INTERNACIONAL GENERAL ABELARDO L. RODRIGUEZ, TIJUANA, BAJA CALIFORNIA.",Tijuana,Baja California,True
c_aduana_420,420,"TUXPAN, TUXPAN DE RODRIGUEZ CANO, VERACRUZ.",Tuxpan,Veracruz,True
c_aduana_421,421,"TUXPAN, TUXPAN, VERACRUZ.",Tuxpan,Veracruz,True
c_aduana_430,430,"VERACRUZ, VERACRUZ, VERACRUZ.",Veracruz,Veracruz,True
c_aduana_432,432,"AEROPUERTO INTERNACIONAL GENERAL HERIBERTO JARA CORONA, VERACRUZ, VERACRUZ.",Veracruz,Veracruz,True
c_aduana_440,440,"CIUDAD ACUÃA, CIUDAD ACUÃA, COAHUILA.",Ciudad AcuÃ±a,Coahuila,True
c_aduana_460,460,"TORREON, TORREON, COAHUILA.",Torreon,Coahuila,True
c_aduana_462,462,"GOMEZ PALACIO, GOMEZ PALACIO, DURANGO.",Gomez Palacio,Durango,True
c_aduana_463,463,"AEROPUERTO INTERNACIONAL GENERAL GUADALUPE VICTORIA, DURANGO, DURANGO.",Durango,Durango,True
c_aduana_461,461,"AEROPUERTO DE TORREÃN, COAHUILA DE ZARAGOZA.",Torreon,Coahuila,True
c_aduana_470,470,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,",Ciudad de MÃ©xico,,True
c_aduana_471,471,"SATELITE, AEROPUERTO INTERNACIONAL BENITO JUAREZ DE LA CIUDAD DE MEXICO.",Satelite,Ciudad de MÃ©xico,True
c_aduana_472,472,"CENTRO POSTAL MECANIZADO, AEROPUERTO INTERNACIONAL BENITO JUAREZ DE LA CIUDAD DE MEXICO.",Ciudad de MÃ©xico,,True
c_aduana_480,480,"GUADALAJARA, TLACOMULCO DE ZUÃIGA, JALISCO.",Guadalajara,Jalisco,True
c_aduana_481,481,"PUERTO VALLARTA, PUERTO VALLARTA, JALISCO.",Puerto Vallarta,Jalisco,True
c_aduana_484,484,"TERMINAL INTERMODAL FERROVIARIA, GUADALAJARA, JALISCO.",Guadalajara,Jalisco,True
c_aduana_500,500,"SONOYTA, SONOYTA, SONORA.",Sonoyta,Sonora,True
c_aduana_501,501,"SAN EMETERIO, GENERAL PLUTARCO ELIAS CALLES, SONORA.",San Emeterio,General Plutarco Elias Calles,True
c_aduana_50,50,"SONORA, PITIQUITO, SONORA.",Sonora,Pitiquito,True
c_aduana_510,510,"LAZARO CARDENAS, LAZARO CARDENAS, MICHOACAN.",Lazaro Cardenas,Michoacan,True
c_aduana_511,511,"AEROPUERTO INTERNACIONAL IXTAPA-ZIHUATANEJO, ZIHUATANEJO DE AZUETA, GUERRERO.",Ixtapa-Zihuatanejo,Guerrero,True
c_aduana_520,520,"MONTERREY, GENERAL MARIANO ESCOBEDO, NUEVO LEON.",Monterrey,Nuevo Leon,True
c_aduana_521,521,"AEROPUERTO INTERNACIONAL GENERAL MARIANO ESCOBEDO, APODACA, NUEVO LEON.",Apodaca,Nuevo Leon,True
c_aduana_523,523,"SALINAS VICTORIA A (TERMINAL FERROVIARIA), SALINAS VICTORIA, NUEVO LEON.",Salinas Victoria,Nuevo Leon,True
c_aduana_524,524,"GENERAL ESCOBEDO, GENERAL ESCOBEDO, NUEVO LEON.",General Escobedo,Nuevo Leon,True
c_aduana_525,525,"SALINAS VICTORIA B (INTERPUERTO), SALINAS VICTORIA, NUEVO LEON.",Salinas Victoria B (Interpuerto),Salinas Victoria,True
