id,date_start,date_end,uma_percent,income_limit,monthly_divisor,dof_publication
subsidy_2026_january,2026-01-01,2026-02-01,15.59,11492.66,30.4,2025-12-31
subsidy_2026,2026-02-01,,15.02,11492.66,30.4,2025-12-31
