id,sequence,name,report_id/id,currency_id/id,temporary,target_move,display_columns_description,no_auto_expand_accounts,comparison_mode,widget_show_settings_button,widget_show_pivot_date,widget_show_filters,multi_company,wide_display_by_default,landscape_pdf
mis_report_instance_balance_sheet,10,Balance General,l10n_mx_account_reports.mis_report_balance_sheet,base.MXN,FALSE,posted,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_report_instance_profit_and_loss,20,Estado de resultados,l10n_mx_account_reports.mis_report_profit_and_loss,base.MXN,FALSE,posted,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_report_instance_trial_balance_annual,30,Balanza de comprobación anual,l10n_mx_account_reports.mis_report_trial_balance,base.MXN,FALSE,posted,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_report_instance_trial_balance_monthly,40,Balanza de comprobación mensual,l10n_mx_account_reports.mis_report_trial_balance,base.MXN,FALSE,posted,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_report_instance_aged_receivable,50,Cuenta por cobrar vencida,l10n_mx_account_reports.mis_report_aged_receivable,base.MXN,FALSE,posted,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_report_instance_aged_payable,60,Cuenta por pagar,l10n_mx_account_reports.mis_report_aged_payable,base.MXN,FALSE,posted,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_report_instance_cash_flow,70,Flujo de efectivo,l10n_mx_account_reports.mis_report_cash_flow,base.MXN,FALSE,posted,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_instance_aged_receivable_by_move,80,Aged Receivable by partner (by move date),l10n_mx_account_reports.mis_report_aged_receivable_by_move,base.MXN,FALSE,posted,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_instance_aged_receivable_by_due,90,Aged Receivable by partner (by due date),l10n_mx_account_reports.mis_report_aged_receivable_by_due,base.MXN,FALSE,posted,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_instance_aged_payable_by_move,100,Aged Payable by partner (by move date),l10n_mx_account_reports.mis_report_aged_payable_by_move,base.MXN,FALSE,posted,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_instance_aged_payable_by_due,110,Aged Payable by partner (by due date),l10n_mx_account_reports.mis_report_aged_payable_by_due,base.MXN,FALSE,posted,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
mis_instance_diot_by_partner,120,DIOT by partner (previous month),l10n_mx_account_reports.mis_report_diot,base.MXN,FALSE,posted,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
