id,code,name,date_start,date_end,legal_name
c_banco_002,002,BANAMEX,2017-01-01,,"Banco Nacional de México, S.A., Institución de Banca Múltiple, Grupo Financiero Banamex"
c_banco_006,006,BANCOMEXT,2017-01-01,,"Banco Nacional de Comercio Exterior, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
c_banco_009,009,BANOBRAS,2017-01-01,,"Banco Nacional de Obras y Servicios Públicos, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
c_banco_012,012,BBVA BANCOMER,2017-01-01,,"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer"
c_banco_014,014,SANTANDER,2017-01-01,,"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander"
c_banco_019,019,BANJERCITO,2017-01-01,,"Banco Nacional del Ejército, Fuerza Aérea y Armada, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
c_banco_021,021,HSBC,2017-01-01,,"HSBC México, S.A., institución De Banca Múltiple, Grupo Financiero HSBC"
c_banco_030,030,BAJIO,2017-01-01,,"Banco del Bajío, S.A., Institución de Banca Múltiple"
c_banco_032,032,IXE,2017-01-01,2017-08-13,"IXE Banco, S.A., Institución de Banca Múltiple, IXE Grupo Financiero"
c_banco_036,036,INBURSA,2017-01-01,,"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa"
c_banco_037,037,INTERACCIONES,2017-01-01,,"Banco Interacciones, S.A., Institución de Banca Múltiple"
c_banco_042,042,MIFEL,2017-01-01,,"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel"
c_banco_044,044,SCOTIABANK,2017-01-01,,"Scotiabank Inverlat, S.A."
c_banco_058,058,BANREGIO,2017-01-01,,"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero"
c_banco_059,059,INVEX,2017-01-01,,"Banco Invex, S.A., Institución de Banca Múltiple, Invex Grupo Financiero"
c_banco_060,060,BANSI,2017-01-01,,"Bansi, S.A., Institución de Banca Múltiple"
c_banco_062,062,AFIRME,2017-01-01,,"Banca Afirme, S.A., Institución de Banca Múltiple"
c_banco_072,072,BANORTE/IXE,2017-01-01,,"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte"
c_banco_102,102,THE ROYAL BANK,2017-01-01,,"The Royal Bank of Scotland México, S.A., Institución de Banca Múltiple"
c_banco_103,103,AMERICAN EXPRESS,2017-01-01,,"American Express Bank (México), S.A., Institución de Banca Múltiple"
c_banco_106,106,BAMSA,2017-01-01,,"Bank of America México, S.A., Institución de Banca Múltiple, Grupo Financiero Bank of America"
c_banco_108,108,TOKYO,2017-01-01,,"Bank of Tokyo-Mitsubishi UFJ (México), S.A."
c_banco_110,110,JP MORGAN,2017-01-01,,"Banco J.P. Morgan, S.A., Institución de Banca Múltiple, J.P. Morgan Grupo Financiero"
c_banco_112,112,BMONEX,2017-01-01,,"Banco Monex, S.A., Institución de Banca Múltiple"
c_banco_113,113,VE POR MAS,2017-01-01,,"Banco Ve Por Mas, S.A. Institución de Banca Múltiple"
