id,code,name,date_start,date_end,legal_name
c_banco_116,116,ING,2017-01-01,2017-08-13,"ING Bank (México), S.A., Institución de Banca Múltiple, ING Grupo Financiero"
c_banco_124,124,DEUTSCHE,2017-01-01,,"Deutsche Bank México, S.A., Institución de Banca Múltiple"
c_banco_126,126,CREDIT SUISSE,2017-01-01,,"Banco Credit Suisse (México), S.A. Institución de Banca Múltiple, Grupo Financiero Credit Suisse (México)"
c_banco_127,127,AZTECA,2017-01-01,,"Banco Azteca, S.A. Institución de Banca Múltiple."
c_banco_128,128,AUTOFIN,2017-01-01,,"Banco Autofin México, S.A. Institución de Banca Múltiple"
c_banco_129,129,BARCLAYS,2017-01-01,,"Barclays Bank México, S.A., Institución de Banca Múltiple, Grupo Financiero Barclays México"
c_banco_130,130,COMPARTAMOS,2017-01-01,,"Banco Compartamos, S.A., Institución de Banca Múltiple"
c_banco_131,131,BANCO FAMSA,2017-01-01,,"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple"
c_banco_132,132,BMULTIVA,2017-01-01,,"Banco Multiva, S.A., Institución de Banca Múltiple, Multivalores Grupo Financiero"
c_banco_133,133,ACTINVER,2017-01-01,,"Banco Actinver, S.A. Institución de Banca Múltiple, Grupo Financiero Actinver"
c_banco_134,134,WAL-MART,2017-01-01,2017-08-13,"Banco Wal-Mart de México Adelante, S.A., Institución de Banca Múltiple"
c_banco_135,135,NAFIN,2017-01-01,,"Nacional Financiera, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
c_banco_136,136,INTERCAM BANCO,2017-01-01,,"Intercam Banco, S.A., Institución de Banca Múltiple, Intercam Grupo Financiero"
c_banco_137,137,BANCOPPEL,2017-01-01,,"BanCoppel, S.A., Institución de Banca Múltiple"
c_banco_138,138,ABC CAPITAL,2017-01-01,,"ABC Capital, S.A., Institución de Banca Múltiple"
c_banco_139,139,UBS BANK,2017-01-01,,"UBS Bank México, S.A., Institución de Banca Múltiple, UBS Grupo Financiero"
c_banco_140,140,CONSUBANCO,2017-01-01,,"Consubanco, S.A. Institución de Banca Múltiple"
c_banco_141,141,VOLKSWAGEN,2017-01-01,,"Volkswagen Bank, S.A., Institución de Banca Múltiple"
c_banco_143,143,CIBANCO,2017-01-01,,"CIBanco, S.A."
c_banco_145,145,BBASE,2017-01-01,,"Banco Base, S.A., Institución de Banca Múltiple"
c_banco_147,147,BANKAOOL,2017-08-13,,"Bankaool, S.A., Institución de Banca Múltiple"
c_banco_148,148,PAGATODO,2017-08-13,,"Banco PagaTodo, S.A., Institución de Banca Múltiple"
c_banco_149,149,FORJADORES,2017-08-13,,"Banco Forjadores, S.A., Institución de Banca Múltiple"
c_banco_150,150,INMOBILIARIO,2017-08-13,,"Banco Inmobiliario Mexicano, S.A., Institución de Banca Múltiple"
c_banco_151,151,DONDÉ,2017-08-13,,"Fundación Dondé Banco, S.A., Institución de Banca Múltiple"
c_banco_152,152,BANCREA,2017-08-13,,"Banco Bancrea, S.A., Institución de Banca Múltiple"
c_banco_153,153,PROGRESO,2017-08-13,,"Banco Progreso Chihuahua, S.A."
c_banco_154,154,BANCO FINTERRA,2017-08-13,,"Banco Finterra, S.A., Institución de Banca Múltiple"
c_banco_155,155,ICBC,2017-08-13,,"Industrial and Commercial Bank of China México, S.A., Institución de Banca Múltiple"
c_banco_156,156,SABADELL,2017-08-13,,"Banco Sabadell, S.A., Institución de Banca Múltiple"
c_banco_157,157,SHINHAN,2017-08-13,,"Banco Shinhan de México, S.A., Institución de Banca Múltiple"
c_banco_158,158,MIZUHO BANK,2017-08-13,,"Mizuho Bank México, S.A., Institución de Banca Múltiple"
c_banco_159,159,BANK OF CHINA,2017-08-13,,"Bank of China México, S.A., Institución de Banca Múltiple"
c_banco_160,160,BANCO S3,2017-08-13,,"Banco S3 México, S.A., Institución de Banca Múltiple"
c_banco_166,166,BANSEFI,2017-01-01,,"Banco del Ahorro Nacional y Servicios Financieros, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
c_banco_168,168,HIPOTECARIA FEDERAL,2017-01-01,,"Sociedad Hipotecaria Federal, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
c_banco_600,600,MONEXCB,2017-01-01,,"Monex Casa de Bolsa, S.A. de C.V. Monex Grupo Financiero"
c_banco_601,601,GBM,2017-01-01,,"GBM Grupo Bursátil Mexicano, S.A. de C.V. Casa de Bolsa"
c_banco_602,602,MASARI,2017-01-01,,"Masari Casa de Bolsa, S.A."
c_banco_605,605,VALUE,2017-01-01,,"Value, S.A. de C.V. Casa de Bolsa"
c_banco_606,606,ESTRUCTURADORES,2017-01-01,,"Estructuradores del Mercado de Valores Casa de Bolsa, S.A. de C.V."
c_banco_607,607,TIBER,2017-01-01,,"Casa de Cambio Tiber, S.A. de C.V."
c_banco_608,608,VECTOR,2017-01-01,,"Vector Casa de Bolsa, S.A. de C.V."
c_banco_610,610,B&B,2017-01-01,,"B y B, Casa de Cambio, S.A. de C.V."
c_banco_614,614,ACCIVAL,2017-01-01,,"Acciones y Valores Banamex, S.A. de C.V., Casa de Bolsa"
c_banco_615,615,MERRILL LYNCH,2017-01-01,,"Merrill Lynch México, S.A. de C.V. Casa de Bolsa"
c_banco_616,616,FINAMEX,2017-01-01,,"Casa de Bolsa Finamex, S.A. de C.V."
c_banco_617,617,VALMEX,2017-01-01,,"Valores Mexicanos Casa de Bolsa, S.A. de C.V."
c_banco_618,618,UNICA,2017-01-01,,"Unica Casa de Cambio, S.A. de C.V."
c_banco_619,619,MAPFRE,2017-01-01,,"MAPFRE Tepeyac, S.A."
c_banco_620,620,PROFUTURO,2017-01-01,,"Profuturo G.N.P., S.A. de C.V., Afore"
c_banco_621,621,CB ACTINVER,2017-01-01,,"Actinver Casa de Bolsa, S.A. de C.V."
c_banco_622,622,OACTIN,2017-01-01,,"OPERADORA ACTINVER, S.A. DE C.V."
c_banco_623,623,SKANDIA,2017-01-01,,"Skandia Vida, S.A. de C.V."
c_banco_626,626,CBDEUTSCHE,2017-01-01,,"Deutsche Securities, S.A. de C.V. CASA DE BOLSA"
c_banco_627,627,ZURICH,2017-01-01,,"Zurich Compañía de Seguros, S.A."
c_banco_628,628,ZURICHVI,2017-01-01,,"Zurich Vida, Compañía de Seguros, S.A."
c_banco_629,629,SU CASITA,2017-01-01,,"Hipotecaria Su Casita, S.A. de C.V. SOFOM ENR"
c_banco_630,630,CB INTERCAM,2017-01-01,,"Intercam Casa de Bolsa, S.A. de C.V."
c_banco_631,631,CI BOLSA,2017-01-01,,"CI Casa de Bolsa, S.A. de C.V."
c_banco_632,632,BULLTICK CB,2017-01-01,,"Bulltick Casa de Bolsa, S.A., de C.V."
c_banco_633,633,STERLING,2017-01-01,,"Sterling Casa de Cambio, S.A. de C.V."
c_banco_634,634,FINCOMUN,2017-01-01,,"Fincomún, Servicios Financieros Comunitarios, S.A. de C.V."
c_banco_636,636,HDI SEGUROS,2017-01-01,,"HDI Seguros, S.A. de C.V."
c_banco_637,637,ORDER,2017-01-01,,"Order Express Casa de Cambio, S.A. de C.V"
c_banco_638,638,AKALA,2017-01-01,,"Akala, S.A. de C.V., Sociedad Financiera Popular"
c_banco_640,640,CB JPMORGAN,2017-01-01,,"J.P. Morgan Casa de Bolsa, S.A. de C.V. J.P. Morgan Grupo Financiero"
c_banco_642,642,REFORMA,2017-01-01,,"Operadora de Recursos Reforma, S.A. de C.V., S.F.P."
c_banco_646,646,STP,2017-01-01,,"Sistema de Transferencias y Pagos STP, S.A. de C.V.SOFOM ENR"
c_banco_647,647,TELECOMM,2017-01-01,,Telecomunicaciones de México
c_banco_648,648,EVERCORE,2017-01-01,,"Evercore Casa de Bolsa, S.A. de C.V."
c_banco_649,649,SKANDIA,2017-01-01,,"Skandia Operadora de Fondos, S.A. de C.V."
c_banco_651,651,SEGMTY,2017-01-01,,"Seguros Monterrey New York Life, S.A de C.V"
c_banco_652,652,ASEA,2017-01-01,,"Solución Asea, S.A. de C.V., Sociedad Financiera Popular"
c_banco_653,653,KUSPIT,2017-01-01,,"Kuspit Casa de Bolsa, S.A. de C.V."
c_banco_655,655,SOFIEXPRESS,2017-01-01,,"J.P. SOFIEXPRESS, S.A. de C.V., S.F.P."
c_banco_656,656,UNAGRA,2017-01-01,,"UNAGRA, S.A. de C.V., S.F.P."
c_banco_659,659,OPCIONES EMPRESARIALES DEL NOROESTE,2017-01-01,,"OPCIONES EMPRESARIALES DEL NORESTE, S.A. DE C.V., S.F.P."
c_banco_670,670,LIBERTAD,2017-01-01,,"Libertad Servicios Financieros, S.A. De C.V."
c_banco_901,901,CLS,2017-01-01,,Cls Bank International
c_banco_902,902,INDEVAL,2017-01-01,,"SD. Indeval, S.A. de C.V."
