id,code,name,date_start,date_end
c_tipodeduccion_001,001,Seguridad social,2016-11-01,
c_tipodeduccion_002,002,ISR,2016-11-01,
c_tipodeduccion_003,003,"Aportaciones a retiro, cesantía en edad avanzada y vejez.",2016-11-01,
c_tipodeduccion_004,004,Otros,2016-11-01,
c_tipodeduccion_005,005,Aportaciones a Fondo de vivienda,2016-11-01,
c_tipodeduccion_006,006,Descuento por incapacidad,2016-11-01,
c_tipodeduccion_007,007,Pensión alimenticia,2016-11-01,
c_tipodeduccion_008,008,Renta,2016-11-01,
c_tipodeduccion_009,009,Préstamos provenientes del Fondo Nacional de la Vivienda para los Trabajadores,2016-11-01,
c_tipodeduccion_010,010,Pago por crédito de vivienda,2016-11-01,
c_tipodeduccion_011,011,Pago de abonos INFONACOT,2016-11-01,
c_tipodeduccion_012,012,Anticipo de salarios,2016-11-01,
c_tipodeduccion_013,013,Pagos hechos con exceso al trabajador,2016-11-01,
c_tipodeduccion_014,014,Errores,2016-11-01,
c_tipodeduccion_015,015,Pérdidas,2016-11-01,
c_tipodeduccion_016,016,Averías,2016-11-01,
c_tipodeduccion_017,017,Adquisición de artículos producidos por la empresa o establecimiento,2016-11-01,
c_tipodeduccion_018,018,Cuotas para la constitución y fomento de sociedades cooperativas y de cajas de ahorro,2016-11-01,
c_tipodeduccion_019,019,Cuotas sindicales,2016-11-01,
c_tipodeduccion_020,020,Ausencia (Ausentismo),2016-11-01,
c_tipodeduccion_021,021,Cuotas obrero patronales,2016-11-01,
c_tipodeduccion_022,022,Impuestos Locales,2016-11-01,
c_tipodeduccion_023,023,Aportaciones voluntarias,2016-11-01,
c_tipodeduccion_024,024,Ajuste en Gratificación Anual (Aguinaldo) Exento,2017-01-06,
c_tipodeduccion_025,025,Ajuste en Gratificación Anual (Aguinaldo) Gravado,2017-01-06,
c_tipodeduccion_026,026,Ajuste en Participación de los Trabajadores en las Utilidades PTU Exento,2017-01-06,
c_tipodeduccion_027,027,Ajuste en Participación de los Trabajadores en las Utilidades PTU Gravado,2017-01-06,
c_tipodeduccion_028,028,Ajuste en Reembolso de Gastos Médicos Dentales y Hospitalarios Exento,2017-01-06,
c_tipodeduccion_029,029,Ajuste en Fondo de ahorro Exento,2017-01-06,
c_tipodeduccion_030,030,Ajuste en Caja de ahorro Exento,2017-01-06,
c_tipodeduccion_031,031,Ajuste en Contribuciones a Cargo del Trabajador Pagadas por el Patrón Exento,2017-01-06,
